Player,Pos,Age,Tm,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%
Jeremy Lamb\lambje01,SG,24,CHO,1.8,6.4,8.1,15.1,4.8,5.7,1.3,10.3,11.6,3.3,1.2,1,1.8,4.3,26.5,109,108,17.5,0.55,0.295,0.281,3,16.6,9.7,14.8,1.4,1.3,8.3,23.1
Joffrey Lauvergne\lauvejo01,PF,25,OKC,1.8,5.2,5.6,11,2.5,3.9,3.4,8.8,12.2,3.4,1.2,0.4,2.7,4.7,19,108,108,14.1,0.511,0.045,0.268,12.4,20.5,16.5,12,1,0.2,14.9,19.5
Zach LaVine\lavinza01,SG,21,MIN,3.5,9,6,11.6,3.4,4.1,0.6,4.1,4.6,4,1.2,0.3,2.5,3,25.8,112,115,15.1,0.493,0.372,0.257,1.6,18.9,9.9,19.8,2.2,0.4,10,30.6
Courtney Lee\leeco01,SG,31,NYK,2.2,5.5,4.3,8.8,1.7,2,1.1,4.2,5.3,3.6,1.6,0.5,1.4,2.9,17,115,114,14,0.568,0.351,0.17,1.7,9.6,5.7,12.5,1.9,0.6,9.6,17.4
Alex Len\lenal01,C,23,PHO,0.1,0.4,7,13.8,4.6,6.4,4.8,10.9,15.6,1.4,1.2,3,3.1,7.4,18.8,108,108,19.3,0.616,0,0.609,14,28.5,21.1,9.1,0.8,3.3,15.7,16.6
Kawhi Leonard\leonaka01,SF,25,SAS,3,8,10.1,19.1,9.7,11,1.6,7.2,8.9,5.4,2.7,1.1,3.2,2.5,38.9,121,102,26.4,0.572,0.315,0.342,3.2,19,11.1,18.2,4.4,3.6,11.1,30.9
Meyers Leonard\leoname01,PF,24,POR,3,8.7,2.9,6.7,1.4,1.6,1.1,8.5,9.6,2.9,0.5,1.1,1.4,7,16.3,105,112,20,0.702,0.296,0.185,5,22.3,13.8,9.3,1.2,0,9.3,17.8
Jon Leuer\leuerjo01,PF,27,DET,1.3,4.3,6.8,12.4,2.5,2.9,2.7,7.8,10.4,2.9,0.8,0.7,1.7,3.8,19.9,113,109,8.7,0.505,0.083,0.417,5.6,21.3,13.3,5.3,0.4,1.9,15.8,16.5
Caris LeVert\leverca01,SF,22,BRK,2.3,7.1,4.3,7.5,2.6,3.6,0.9,6.3,7.2,4.2,1.9,0.3,2.3,3.5,17.9,107,111,13.2,0.51,0.346,0.268,3.1,12.6,7.8,25.3,2.1,1,17.6,22.5
DeAndre Liggins\liggide01,SG,28,CLE,1.1,3,2.3,6,1.5,2.5,1.1,5.6,6.7,3.6,3,0.9,2.8,5.2,9.6,91,108,6.2,0.486,0.541,0.068,1.3,10.5,5.9,7.5,2.9,1.8,16.4,7.8
